ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15066288,"3,700,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Millet Mahallesi Satılık Daire,165 M2,3+1,4,6,6.Kat,Kombi Doğalgaz,Krediye Uygun
15068408,"3,465,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Karapınar Mahallesi Satılık Daire,200.000 M2,4+1,0 (Yeni),4,4.Kat,Yerden Isıtma,Krediye Uygun
15066916,"6,580,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Odunluk Mahallesi Satılık Daire,200 M2,3+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15068549,"2,550,000",Bursa Satılık Daire,Kestel Satılık Daire,Kale Mahallesi Satılık Daire,130 M2,3+1,5-10,3,3.Kat,Kombi Doğalgaz,Krediye Uygun
15068716,"2,375,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Akçalar Mahallesi Satılık Daire,165 M2,3+1,0 (Yeni),5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15059049,"2,450,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Erikli Mahallesi Satılık Daire,135 M2,3+1,21 Ve Üzeri,4,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15068707,"1,750,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Ovaakça Merkez Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15069289,"1,475,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Emirsultan Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,6,3.Kat,Kombi Doğalgaz,Krediye Uygun
15068655,"3,250,000",Bursa Satılık Daire,İnegöl Satılık Daire,Ertuğrulgazi Mahallesi Satılık Daire,150 M2,3+1,3,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15051972,"12,250,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balat Mahallesi Satılık Daire,311 M2,4+1,0 (Yeni),6,6.Kat,Yerden Isıtma,Krediye Uygun
15069480,"1,600,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,90 M2,2+1,5-10,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15069505,"5,490,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balkan Mahallesi Satılık Daire,348 M2,5+1,0 (Yeni),6,Çatı Katı,Merkezi (Pay Ölçer),Krediye Uygun
15069478,"2,325,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,115 M2,2+1,2,7,7.Kat,Kombi Doğalgaz,Krediye Uygun
15070406,"899,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Davutkadı Mahallesi Satılık Daire,85 M2,2+1,21 Ve Üzeri,4,Kot 2 (-2).Kat,Doğalgaz Sobalı,Krediye Uygun
15070540,"2,375,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Değirmenlikızık Mahallesi Satılık Daire,120 M2,2+1,3,3,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15070657,"1,825,000",Bursa Satılık Daire,Osmangazi Satılık Daire,İntizam Mahallesi Satılık Daire,95 M2,2+1,21 Ve Üzeri,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15070665,"949,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Hocahasan Mahallesi Satılık Daire,110 M2,2+1,21 Ve Üzeri,5,Bodrum Kat,Doğalgaz Sobalı,Krediye Uygun
15065513,"5,100,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Kızılcıklı Mahallesi Satılık Daire,217 M2,3+1,0 (Yeni),4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15059475,"1,399,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,70 M2,1+1,5-10,5,5.Kat,Klimalı,Krediye Uygun
15066505,"1,305,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Hamzabey Mahallesi Satılık Daire,110 M2,2+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15071979,"4,150,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Soğanlı Mahallesi Satılık Daire,117 M2,2+1,5-10,5,1.Kat,Yerden Isıtma,Krediye Uygun
15072328,"2,300,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Elmasbahçeler Mahallesi Satılık Daire,120 M2,2+1,11-15,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15070633,"1,440,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,70 M2,2+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15071868,"2,100,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Ertuğrulgazi Mahallesi Satılık Daire,85 M2,2+1,21 Ve Üzeri,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15072208,"3,450,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Konak Mahallesi Satılık Daire,133 M2,3+1,16-20,5,5.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15072710,"1,810,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,95 M2,2+1,5-10,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15072400,"2,950,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Nalbantoğlu Mahallesi Satılık Daire,145 M2,3+1,21 Ve Üzeri,5,4.Kat,Merkezi Doğalgaz,Krediye Uygun
15072713,"1,550,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,65 M2,2+1,4,6,2.Kat,Yerden Isıtma,Krediye Uygun
15069653,"2,450,000",Bursa Satılık Daire,Yenişehir Satılık Daire,Yenigün Mahallesi Satılık Daire,115 M2,2+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15072458,"2,380,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Demirtaş Cumhuriyet Mahallesi Satılık Daire,145 M2,3+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15070650,"1,510,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,60 M2,1+1,4,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15071878,"1,550,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Piremir Mahallesi Satılık Daire,110 M2,2+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15072712,"1,050,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,55 M2,2+1,5-10,6,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15072717,"1,240,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,65 M2,1+1,5-10,6,2.Kat,Kombi Doğalgaz,Krediye Uygun
15072716,"1,600,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,60 M2,1+1,2,7,3.Kat,Yerden Isıtma,Krediye Uygun
15072911,"1,390,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,55 M2,1+1,3,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15072913,"1,900,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Adalet Mahallesi Satılık Daire,135 M2,3+1,1,4,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15072711,"1,800,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,65 M2,1+1,3,8,Bahçe Katı,Yerden Isıtma,Krediye Uygun Değil
15075633,"2,750,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Akçalar Mahallesi Satılık Daire,120 M2,3+1,4,5,2.Kat,Yerden Isıtma,Krediye Uygun
15075707,"2,900,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Akçalar Mahallesi Satılık Daire,145 M2,3+1,5-10,5,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15072715,"1,715,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,60 M2,2+1,3,5,2.Kat,Yerden Isıtma,Krediye Uygun
15075705,"2,850,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balkan Mahallesi Satılık Daire,105 M2,2+1,4,5,3.Kat,Kombi Doğalgaz,Krediye Uygun
15072718,"1,900,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,90 M2,2+1,1,5,5.Kat,Yerden Isıtma,Krediye Uygun Değil
15075710,"1,920,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Ertuğrulgazi Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,5,5.Kat,Doğalgaz Sobalı,Krediye Uygun
15075713,"3,650,000",Bursa Satılık Daire,Nilüfer Satılık Daire,30 Ağustos Zafer Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),6,2.Kat,Yerden Isıtma,Krediye Uygun
15075754,"3,000,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Adalet Mahallesi Satılık Daire,278 M2,5+1,4,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15075789,"2,150,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,148 M2,3+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
