ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting
250621,4712500.0,İstanbul,Küçükçekmece,Cumhuriyet Mah.,300,5+2,2,16-20 Arası,7,Doğalgaz (Kombi),
245790,7200000,İstanbul,Kağıthane,Hamidiye Mah.,105,3+1,1,21-25 Arası,10,Merkezi Sistem,Evet
247041,21500000,İstanbul,Büyükçekmece,Sinanoba Mah.,220,4+1,2,11-15 Arası,5,Doğalgaz (Kombi),
250898,6125000,Antalya,Alanya,Gözübüyük Mah.,99,4+1,2,2,2,Klima,Bilinmiyor
247039,10000000,Tekirdağ,Çorlu,Nusratiye Mah.,165,3+1,2,1 Yaşından Küçük,2,Doğalgaz (Kombi),Evet
249236,77000000,Antalya,Konyaaltı,Bahtılı Mah.,500,7+1,7,11-15 Arası,,Isı Pompası,Evet
271045,6250000,İstanbul,Bahçelievler,Şirinevler Mah.,160,3+2,2,1 Yaşından Küçük,5,Doğalgaz (Kombi),Evet
247889,7800000,İzmir,Narlıdere,2. İnönü Mah.,155,3+1,2,11-15 Arası,9,Doğalgaz (Kombi),Evet
249697,3575000.0,İstanbul,Esenyurt,Hürriyet Mah.,160,2+2,2,5-10 Arası,6,Doğalgaz (Kombi),Evet
249750,10000000,Muğla,Fethiye,Foça Mah.,160,4+1,3,1,3,Klima,Evet
249695,2500000,Sakarya,Sapanca,Göl Mah.,120,3+1,2,16-20 Arası,4,Doğalgaz (Kombi),Evet
242016,20800000.0,Bursa,Nilüfer,Gümüştepe Mah.,280,5+1,,Sıfır,4,,Evet
251813,10833322.5,İstanbul,Arnavutköy,Karaburun Mah.,200,5+1,4,16-20 Arası,3,Doğalgaz (Kombi),
241664,58500000.0,İstanbul,Çatalca,,350,10+2,,,,,
241974,4062500.0,Kütahya,Simav,Ahlatlıçeşme Köyü,65,1+1,1,1,5,Jeotermal,Evet
240978,4000000,İstanbul,Beylikdüzü,,,,,,,,
245166,19500.0,Sakarya,Hendek,Karadere Mah.,200,5+1,5,1,2,Jeotermal,Evet
241652,29000000,İstanbul,Silivri,Selimpaşa Merkez Mah.,,6+1,,,2,,
242816,29250000.0,İstanbul,Büyükçekmece,Türkoba Mah.,380,5+1,4,11-15 Arası,3,,
233210,13487500.0,İstanbul,Kadıköy,,120,2+2,2,5-10 Arası,4,Doğalgaz (Kombi),Evet
242579,13000000,Mersin,Yenişehir,Fuatmorel Mah.,,,,,,,
242431,11375000.0,İstanbul,Başakşehir,Güvercintepe Mah.,115,3+1,1,11-15 Arası,13,Doğalgaz (Kombi),Bilinmiyor
235655,7150000.0,Rize,İyidere,Fıçıtaşı Mah.,145,3+1,2,1 Yaşından Küçük,9,Doğalgaz (Kombi),Evet
242808,7500000,İstanbul,Başakşehir,,150,3+1,,1 Yaşından Küçük,,,
243300,7800000.0,Bursa,Nilüfer,Karaman Mah.,115,3+1,2,3,14,Yerden Isıtma,Evet
235800,2400000,İstanbul,Beylikdüzü,Adnan Kahveci Mah.,85,2+1,2,1 Yaşından Küçük,4,Doğalgaz (Kombi),Evet
239103,6175000.0,İstanbul,Büyükçekmece,Çakmaklı Mah.,98,2+1,1,,12,Doğalgaz (Kombi),Evet
235413,10000000,Antalya,Kepez,Odabaşı Mah.,200,4+1,3,Sıfır,2,Klima,Evet
246795,40625000.0,İstanbul,Başakşehir,Bahçeşehir 1. Kısım Mah.,550,7+2,6,5-10 Arası,3,Doğalgaz (Kombi),Evet
236810,20000000,Muğla,Bodrum,Yalıkavak Mah.,150,3+1,2,,2,,
239996,487500000.0,İstanbul,Beykoz,Anadolu Hisarı Mah.,,6+2,,,,,
240258,2600000,İstanbul,Tuzla,Aydınlı Mah.,85,2+1,1 Yaşından Küçük,,12,Hayır,Hayır
241033,29250000.0,İzmir,Çeşme,Ardıç Mah.,140,3+1,2,16-20 Arası,2,Klima,Hayır
235789,48717500.0,Tekirdağ,Süleymanpaşa,Bahçelievler Mah.,300,4+1,3,1 Yaşından Küçük,3,Doğalgaz (Kombi),Evet
240981,43875000.0,İstanbul,Silivri,Ortaköy Merkez Mah.,482,7+2,4,1 Yaşından Küçük,3,,
230692,15000000,Nevşehir,Merkez,Nar Köyü,274,6+1,2,5-10 Arası,2,Doğalgaz (Kombi),Bilinmiyor
