ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
14971576,"2,700,000",Konya Satılık Daire,Selçuklu Satılık Daire,Parsana Mahallesi Satılık Daire,130 M2,2+1,0 (Yeni),3,1.Kat,Yerden Isıtma,Krediye Uygun
14961630,"2,750,000",Konya Satılık Daire,Selçuklu Satılık Daire,Sancak Mahallesi Satılık Daire,135 M2,2.5+1,0 (Yeni),4,Yüksek Giriş,Yerden Isıtma,Krediye Uygun
14959640,"1,875,000",Konya Satılık Daire,Karatay Satılık Daire,İstiklal Mahallesi Satılık Daire,145 M2,2+1,0 (Yeni),3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
14960243,"2,350,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,180 M2,4+1,16-20,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
14960250,"2,650,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,178 M2,3+1,5-10,9,8.Kat,Merkezi Doğalgaz,Krediye Uygun
14961845,"695,000",Konya Satılık Daire,Karatay Satılık Daire,Şemsitebrizi Mahallesi Satılık Daire,55 M2,2+1,21 Ve Üzeri,4,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil
14963025,"2,300,000",Konya Satılık Daire,Selçuklu Satılık Daire,Yazır Mahallesi Satılık Daire,135 M2,3+1,16-20,3,Çatı Katı,Kombi Doğalgaz,Krediye Uygun Değil
14963033,"3,000,000",Konya Satılık Daire,Karatay Satılık Daire,Erenler Mahallesi Satılık Daire,185 M2,3+1,0 (Yeni),6,5.Kat,Yerden Isıtma,Krediye Uygun Değil
14962115,"3,500,000",Konya Satılık Daire,Karatay Satılık Daire,Yediler Mahallesi Satılık Daire,160 M2,3+1,0 (Yeni),6,6.Kat,Yerden Isıtma,Krediye Uygun
14952346,"2,850,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,150 M2,3+1,4,10,Yüksek Giriş,Merkezi (Pay Ölçer),Krediye Uygun
14961655,"4,750,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selçuk Mahallesi Satılık Daire,210 M2,4+1,5-10,12,4.Kat,Kombi Doğalgaz,Krediye Uygun
14960773,"4,250,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kılınçarslan Mahallesi Satılık Daire,165 M2,3+1,5-10,11,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun
