ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15141292,"1,750,000",Antalya Satılık Daire,Gazipaşa Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,55 M2,1+1,0 (Yeni),6,1.Kat,Merkezi Doğalgaz,Krediye Uygun Değil
15141409,"5,000,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Üçgen Mahallesi Satılık Daire,150 M2,3+1,21 Ve Üzeri,7,6.Kat,Kombi Doğalgaz,Krediye Uygun
15141927,"6,150,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,130 M2,2+1,5-10,12,4.Kat,Klimalı,Krediye Uygun Değil
15142925,"2,700,000",Antalya Satılık Daire,Alanya Satılık Daire,Avsallar Mahallesi Satılık Daire,85 M2,1+1,0 (Yeni),5,Çatı Dubleks,Klimalı,Krediye Uygun
15143165,"2,600,000",Antalya Satılık Daire,Finike Satılık Daire,Yeni Mahallesi Satılık Daire,94 M2,2+1,0 (Yeni),6,6.Kat,Klimalı,Krediye Uygun
15142997,"4,000,000",Antalya Satılık Daire,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,75 M2,2+1,1,5,2.Kat,Klimalı,Krediye Uygun
15142704,"8,000,000",Antalya Satılık Daire,Finike Satılık Daire,Hasyurt Mahallesi Satılık Daire,150 M2,2+1,0 (Yeni),6,5.Kat,Klimalı,Bilinmiyor
15142745,"5,000,000",Antalya Satılık Daire,Finike Satılık Daire,Hasyurt Mahallesi Satılık Daire,96 M2,1+1,0 (Yeni),6,3.Kat,Klimalı,Bilinmiyor
15141840,"3,300,000",Antalya Satılık Daire,Kepez Satılık Daire,Şafak Mahallesi Satılık Daire,110 M2,2+1,0 (Yeni),3,1.Kat,Klimalı,Krediye Uygun
15141809,"2,100,000",Antalya Satılık Daire,Kepez Satılık Daire,Yeni Emek Mahallesi Satılık Daire,100 M2,2+1,5-10,4,1.Kat,Klimalı,Krediye Uygun
15143930,"7,700,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Çağlayan Mahallesi Satılık Daire,175 M2,3+1,21 Ve Üzeri,8,7.Kat,Klimalı,Krediye Uygun
15143799,"4,500,000",Antalya Satılık Daire,Kepez Satılık Daire,Ayanoğlu Mahallesi Satılık Daire,150 M2,2+1,5-10,6,2.Kat,Klimalı,Krediye Uygun
15144207,"4,250,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Meydankavağı Mahallesi Satılık Daire,140 M2,2+1,5-10,4,Bahçe Dublex,Klimalı,Krediye Uygun
15144132,"3,305,000",Antalya Satılık Daire,Alanya Satılık Daire,Avsallar Mahallesi Satılık Daire,70 M2,1+1,0 (Yeni),6,5.Kat,Klimalı,Krediye Uygun
15144125,"3,300,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Güzeloba Mahallesi Satılık Daire,80 M2,2+1,16-20,2,Bahçe Katı,Klimalı,Krediye Uygun
15145230,"2,600,000",Antalya Satılık Daire,Kepez Satılık Daire,Varsak Karşıyaka Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),4,2.Kat,Klimalı,Krediye Uygun Değil
15144886,"3,640,000",Antalya Satılık Daire,Döşemealtı Satılık Daire,Yeniköy Mahallesi Satılık Daire,150 M2,3+1,3,4,3.Kat,Klimalı,Krediye Uygun Değil
15144772,"2,850,000",Antalya Satılık Daire,Alanya Satılık Daire,Konaklı Mahallesi Satılık Daire,60 M2,1+1,5-10,2,1.Kat,Klimalı,Krediye Uygun
15145442,"3,950,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Liman Mahallesi Satılık Daire,55 M2,1+1,5-10,5,1.Kat,Klimalı,Krediye Uygun Değil
15145415,"6,400,000",Antalya Satılık Daire,Manavgat Satılık Daire,Ilıca Mahallesi Satılık Daire,110 M2,2+1,5-10,3,Bahçe Katı,Klimalı,Krediye Uygun
15143045,"3,800,000",Antalya Satılık Daire,Alanya Satılık Daire,Avsallar Mahallesi Satılık Daire,135 M2,3+1,1,5,Bahçe Dublex,Klimalı,Krediye Uygun
15144075,"2,400,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Yüksekalan Mahallesi Satılık Daire,95 M2,2+1,11-15,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15147505,"2,644,195",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,60 M2,1+1,4,4,3.Kat,Klimalı,Krediye Uygun Değil
15147506,"4,801,302",Antalya Satılık Daire,Alanya Satılık Daire,Güller Pınarı Mahallesi Satılık Daire,38 M2,1+1,2,5,1.Kat,Klimalı,Krediye Uygun Değil
15147507,"6,088,608",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,52 M2,1+1,2,11,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15145379,"3,800,000",Antalya Satılık Daire,Aksu Satılık Daire,Konak Mahallesi Satılık Daire,115 M2,2+1,0 (Yeni),7,2.Kat,Isıtma Yok,Bilinmiyor
15144151,"3,990,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Yüksekalan Mahallesi Satılık Daire,110 M2,2+1,4,3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15147508,"7,420,334",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,120 M2,2+1,3,11,9.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15145409,"7,000,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Meydankavağı Mahallesi Satılık Daire,185 M2,3+1,11-15,10,3.Kat,Klimalı,Bilinmiyor
15147511,"3,560,000",Antalya Satılık Daire,Alanya Satılık Daire,Tosmur Mahallesi Satılık Daire,90 M2,2+1,0 (Yeni),5,2.Kat,Klimalı,Krediye Uygun
15147513,"3,653,165",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,70 M2,1+1,5-10,8,2.Kat,Klimalı,Krediye Uygun
15145198,"2,600,000",Antalya Satılık Daire,Kepez Satılık Daire,Ünsal Mahallesi Satılık Daire,100 M2,2+1,11-15,4,Yüksek Giriş,Klimalı,Krediye Uygun
15147515,"5,044,846",Antalya Satılık Daire,Alanya Satılık Daire,Güller Pınarı Mahallesi Satılık Daire,60 M2,1+1,5-10,11,7.Kat,Klimalı,Krediye Uygun Değil
15147509,"3,827,125",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,40 M2,1+1,0 (Yeni),11,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15147519,"2,990,000",Antalya Satılık Daire,Alanya Satılık Daire,Kargıcak Mahallesi Satılık Daire,65 M2,1+1,0 (Yeni),4,1.Kat,Klimalı,Krediye Uygun
15147520,"4,054,025",Antalya Satılık Daire,Alanya Satılık Daire,Demirtaş Mahallesi Satılık Daire,90 M2,2+1,4,7,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15145453,"6,350,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Meydankavağı Mahallesi Satılık Daire,145 M2,3+1,16-20,10,5.Kat,Klimalı,Krediye Uygun
15147517,"3,500,000",Antalya Satılık Daire,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,45 M2,1+1,0 (Yeni),5,3.Kat,Klimalı,Krediye Uygun
15147521,"5,845,063",Antalya Satılık Daire,Alanya Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,180 M2,4+1,11-15,3,3.Kat,Klimalı,Krediye Uygun Değil
15147518,"2,678,987",Antalya Satılık Daire,Alanya Satılık Daire,Konaklı Mahallesi Satılık Daire,55 M2,1+1,0 (Yeni),4,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15147549,"5,825,840",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,135 M2,3+1,4,5,1.Kat,Klimalı,Krediye Uygun Değil
15147516,"2,957,324",Antalya Satılık Daire,Alanya Satılık Daire,Kargıcak Mahallesi Satılık Daire,51 M2,1+1,0 (Yeni),9,1.Kat,Klimalı,Krediye Uygun Değil
15147548,"3,850,000",Antalya Satılık Daire,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),5,2.Kat,Klimalı,Krediye Uygun
15147547,"7,150,000",Antalya Satılık Daire,Alanya Satılık Daire,Kestel Mahallesi Satılık Daire,240 M2,4+1,5-10,3,Bahçe Katı,Klimalı,Krediye Uygun
15147524,"2,700,000",Antalya Satılık Daire,Alanya Satılık Daire,Konaklı Mahallesi Satılık Daire,65 M2,1+1,0 (Yeni),3,2.Kat,Klimalı,Krediye Uygun
15147545,"4,592,550",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,115 M2,2+1,5-10,7,2.Kat,Klimalı,Krediye Uygun Değil
15147550,"4,375,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,120 M2,2+1,5-10,10,3.Kat,Klimalı,Krediye Uygun
15147551,"6,200,000",Antalya Satılık Daire,Alanya Satılık Daire,Cikcilli Mahallesi Satılık Daire,110 M2,2+1,5-10,11,4.Kat,Klimalı,Krediye Uygun
15147552,"6,071,221",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,180 M2,3+1,16-20,11,1.Kat,Klimalı,Krediye Uygun Değil
15147555,"3,620,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,55 M2,1+1,11-15,5,Düz Giriş (Zemin),Klimalı,Krediye Uygun
15147553,"4,990,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,120 M2,2+1,5-10,9,5.Kat,Klimalı,Krediye Uygun
15147556,"3,755,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,78 M2,1+1,5-10,10,2.Kat,Klimalı,Krediye Uygun
15147559,"4,350,000",Antalya Satılık Daire,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,135 M2,2+1,0 (Yeni),5,5.Kat,Klimalı,Krediye Uygun
15147560,"4,700,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,65 M2,1+1,5-10,10,5.Kat,Klimalı,Krediye Uygun
15147546,"3,670,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,55 M2,1+1,0 (Yeni),5,2.Kat,Klimalı,Krediye Uygun
15147588,"3,815,000",Antalya Satılık Daire,Alanya Satılık Daire,Kestel Mahallesi Satılık Daire,60 M2,1+1,5-10,5,1.Kat,Klimalı,Krediye Uygun Değil
15147591,"2,950,000",Antalya Satılık Daire,Alanya Satılık Daire,Kargıcak Mahallesi Satılık Daire,60 M2,1+1,5-10,5,3.Kat,Klimalı,Krediye Uygun Değil
15147561,"5,114,431",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,250 M2,3+1,11-15,11,Çatı Katı,Klimalı,Krediye Uygun Değil
15147558,"3,100,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,55 M2,1+1,11-15,5,5.Kat,Klimalı,Krediye Uygun
15147595,"3,300,000",Antalya Satılık Daire,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,41 M2,1+1,1,5,1.Kat,Klimalı,Krediye Uygun
15147592,"2,600,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,57 M2,1+1,0 (Yeni),5,3.Kat,Klimalı,Krediye Uygun
15147916,"3,850,000",Antalya Satılık Daire,Döşemealtı Satılık Daire,Bahçeyaka Mahallesi Satılık Daire,115 M2,3+1,1,4,4.Kat,Klimalı,Krediye Uygun
15147593,"2,695,000",Antalya Satılık Daire,Alanya Satılık Daire,Tosmur Mahallesi Satılık Daire,65 M2,1+1,0 (Yeni),5,1.Kat,Klimalı,Krediye Uygun Değil
15147914,"5,400,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Liman Mahallesi Satılık Daire,95 M2,2+1,11-15,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15147596,"4,453,382",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,130 M2,2+1,16-20,11,3.Kat,Klimalı,Krediye Uygun Değil
15147597,"2,500,000",Antalya Satılık Daire,Alanya Satılık Daire,Avsallar Mahallesi Satılık Daire,52 M2,1+1,0 (Yeni),11,3.Kat,Klimalı,Krediye Uygun
15147913,"5,500,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Liman Mahallesi Satılık Daire,90 M2,2+1,11-15,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15147918,"13,000,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Uncalı Mahallesi Satılık Daire,285 M2,5+1,11-15,4,4.Kat,Klimalı,Krediye Uygun
15147917,"10,500,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Liman Mahallesi Satılık Daire,155 M2,3+1,4,4,4.Kat,Klimalı,Krediye Uygun
15147920,"9,350,000",Antalya Satılık Daire,Kepez Satılık Daire,Gazi Mahallesi Satılık Daire,220 M2,3+1,0 (Yeni),15,10.Kat,Yerden Isıtma,Krediye Uygun
