ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15124498,"2,400,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Yakuplu Mahallesi Satılık Daire,130 M2,3+1,4,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15124637,"3,550,000",İstanbul Satılık Daire,Üsküdar Satılık Daire,İcadiye Mahallesi Satılık Daire,80 M2,2+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15125349,"5,750,000",İstanbul Satılık Daire,Sarıyer Satılık Daire,Sarıyer Merkez Mahallesi Satılık Daire,110 M2,3+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15121298,"1,600,000",İstanbul Satılık Daire,Bahçelievler Satılık Daire,Soğanlı Mahallesi Satılık Daire,85 M2,2+1,21 Ve Üzeri,3,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15011942,"1,775,000",İstanbul Satılık Daire,Ataşehir Satılık Daire,İnönü Mahallesi Satılık Daire,65 M2,1+1,16-20,4,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15013908,"1,520,000",İstanbul Satılık Daire,Başakşehir Satılık Daire,Altınşehir Mahallesi Satılık Daire,70 M2,2+1,1,4,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15008028,"1,925,000",İstanbul Satılık Daire,Çekmeköy Satılık Daire,Çatalmeşe Mahallesi Satılık Daire,60 M2,1+1,4,6,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15114905,"2,670,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yunus Emre Mahallesi Satılık Daire,130 M2,3+1,0 (Yeni),6,4.Kat,Kombi Doğalgaz,Krediye Uygun
15013931,"3,250,000",İstanbul Satılık Daire,Başakşehir Satılık Daire,Altınşehir Mahallesi Satılık Daire,115 M2,3+1,1,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15018139,"2,350,000",İstanbul Satılık Daire,Gaziosmanpaşa Satılık Daire,Pazariçi Mahallesi Satılık Daire,210 M2,3+1,21 Ve Üzeri,5,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15018157,"2,650,000",İstanbul Satılık Daire,Gaziosmanpaşa Satılık Daire,Pazariçi Mahallesi Satılık Daire,85 M2,2+1,16-20,5,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15018575,"5,650,000",İstanbul Satılık Daire,Maltepe Satılık Daire,Altıntepe Mahallesi Satılık Daire,120 M2,2+1,1,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15019245,"1,450,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,115 M2,2+1,0 (Yeni),25,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15016477,"1,335,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,85 M2,1+1,0 (Yeni),20,2.Kat,Merkezi Doğalgaz,Krediye Uygun
15019272,"2,850,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,180 M2,4+2,3,5,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15019292,"9,400,000",İstanbul Satılık Daire,Sancaktepe Satılık Daire,Emek Mahallesi Satılık Daire,148 M2,3+1,11-15,10,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15025627,"2,100,000",İstanbul Satılık Daire,Sultangazi Satılık Daire,Yunus Emre Mahallesi Satılık Daire,120 M2,3+1,21 Ve Üzeri,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15029737,"3,450,000",İstanbul Satılık Daire,Maltepe Satılık Daire,Altıntepe Mahallesi Satılık Daire,100 M2,2+1,4,5,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15108922,"3,450,000",İstanbul Satılık Daire,Maltepe Satılık Daire,Aydınevler Mahallesi Satılık Daire,80 M2,2+1,1,4,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15029777,"3,250,000",İstanbul Satılık Daire,Maltepe Satılık Daire,Küçükyalı Mahallesi Satılık Daire,130 M2,3+1,21 Ve Üzeri,5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15038205,"3,580,000",İstanbul Satılık Daire,Başakşehir Satılık Daire,Güvercintepe Mahallesi Satılık Daire,120 M2,3+1,0 (Yeni),4,1.Kat,Kombi Doğalgaz,Krediye Uygun
14799752,"3,350,000",İstanbul Satılık Daire,Ümraniye Satılık Daire,Atatürk Mahallesi Satılık Daire,140 M2,3+1,16-20,6,1.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15114595,"5,600,000",İstanbul Satılık Daire,Sultangazi Satılık Daire,Eski Habipler Mahallesi Satılık Daire,140 M2,3+1,2,10,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun
14830005,"3,200,000",İstanbul Satılık Daire,Ümraniye Satılık Daire,Esenevler Mahallesi Satılık Daire,95 M2,3+1,21 Ve Üzeri,5,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
14806400,"2,250,000",İstanbul Satılık Daire,Küçükçekmece Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,95 M2,2+1,21 Ve Üzeri,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
14836328,"2,650,000",İstanbul Satılık Daire,Sultangazi Satılık Daire,Zübeyde Hanım Mahallesi Satılık Daire,130 M2,3+1,16-20,5,1.Kat,Kombi Doğalgaz,Krediye Uygun
14836919,"7,390,000",İstanbul Satılık Daire,Kartal Satılık Daire,Orhantepe Mahallesi Satılık Daire,180 M2,4+1,0 (Yeni),5,5.Kat,Kombi Doğalgaz,Krediye Uygun
14837358,"2,990,000",İstanbul Satılık Daire,Maltepe Satılık Daire,Bağlarbaşı Mahallesi Satılık Daire,100 M2,1+1,0 (Yeni),5,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
14837757,"2,435,000",İstanbul Satılık Daire,Çekmeköy Satılık Daire,Soğukpınar Mahallesi Satılık Daire,98 M2,2+1,0 (Yeni),4,2.Kat,Kombi Doğalgaz,Krediye Uygun
14839514,"8,000,000",İstanbul Satılık Daire,Pendik Satılık Daire,Çınardere Mahallesi Satılık Daire,196 M2,6+2,0 (Yeni),11,11.Kat,Kombi Doğalgaz,Krediye Uygun
14843215,"2,350,000",İstanbul Satılık Daire,Ümraniye Satılık Daire,Çakmak Mahallesi Satılık Daire,75 M2,2+1,5-10,5,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun
14866192,"2,900,000",İstanbul Satılık Daire,Silivri Satılık Daire,Yeni Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),5,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
14822482,"3,990,000",İstanbul Satılık Daire,Kartal Satılık Daire,Cevizli Mahallesi Satılık Daire,140 M2,3+1,5-10,8,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
14868289,"20,500,000",İstanbul Satılık Daire,Bakırköy Satılık Daire,Basınköy Mahallesi Satılık Daire,130 M2,3+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
14788866,"3,200,000",İstanbul Satılık Daire,Esenler Satılık Daire,Menderes Mahallesi Satılık Daire,90 M2,2+1,11-15,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
14907236,"8,950,000",İstanbul Satılık Daire,Ümraniye Satılık Daire,Saray Mahallesi Satılık Daire,117 M2,2+1,11-15,13,6.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
14909982,"1,665,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Gürpınar Mahallesi Satılık Daire,115 M2,2+1,3,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
14328083,"3,250,000",İstanbul Satılık Daire,Bakırköy Satılık Daire,Osmaniye Mahallesi Satılık Daire,125 M2,3+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
14370941,"5,650,000",İstanbul Satılık Daire,Silivri Satılık Daire,Yeni Mahallesi Satılık Daire,165 M2,3+1,2,6,6.Kat,Kombi Doğalgaz,Krediye Uygun
14379251,"3,250,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Orhan Gazi Mahallesi Satılık Daire,120 M2,2+1,2,27,21.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil
,,,,,,,,,,,
14407079,"2,950,000",İstanbul Satılık Daire,Tuzla Satılık Daire,İçmeler Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),6,4.Kat,Kombi Doğalgaz,Krediye Uygun
14460708,"3,150,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Güzelyurt Mahallesi Satılık Daire,90 M2,2+1,5-10,7,4.Kat,Merkezi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
14812794,"7,750,000",İstanbul Satılık Daire,Çekmeköy Satılık Daire,Mimar Sinan Mahallesi Satılık Daire,180 M2,3+1,11-15,7,3.Kat,Kombi Doğalgaz,Krediye Uygun
